id	name	iso_code	glottocode	phylum_id	genus_id	contributor_id	source	comments	dialect	latitude	longitude	head_dialect	alternate_names	deprecated
20	Yongning Na (Mosuo)	nru		4	33	1	Lidz, Liberty A. 2010. A descriptive grammar of Yongning Na (Mosuo). Ph.D. Thesis. University of Texas at Austin.	Automatic glottal stop in case of a null onset.	0	27.76122	100.66282			0
21	Wakhi	wbl		3	14	2	Пахалина, Т.Н. 1975. Ваханский язык. Москва: Наука		0	36.7167	71.7667			0
22	Northern Khanty (Kazym)	kca		15	103	2	Каксин, А.Д. 2007. Казымский диалект хантыйского языка. Ханты-Мансийск: Полиграфист	/b/, /g/, /d/, /ʒ/, /z/, /f/, /ts/, /tʃ/, /ɕː/ occur only in borrowings from Russian.	0	63.7	67.0			0
23	Buriat (Standard)	bxr		7	54	2	Санжеев, Г.Д.; Бертагаев, Т.А.; Цыдендамбаев, Ц.Б. (eds.) 1962. Грамматика бурятского языка: фонетика и морфология. Москва: Издательство восточной литературы; Раднаева, Л.Д. (chief ed.) 2005. Звуковой фонетический словарь бурятского языка. Кафедра фонетики филологического факультета СПбГУ (http://www.speech.nw.ru/Buryats/project.html)		0	51.8	107.6			0
24	Hayu	vay		4	28	1	Michailovsky, Boyd. 1981. Grammaire de la Langue Hayu (Népal). University of California, Berkeley.	V — velar; B — bilabial. Length and nasality of vowels is distinctive only in first open syllables of polysyllabic words.	0	27.322848	86.080756			0
25	Aragonese (Chistabino)	arg		3	15	2	Mott, Brian. 2007. Chistabino (Pyrenean Aragonese). Journal of the International Phonetic Association, 37, 103–114.		0	42.59	0.34			0
26	Swedish (Central)	swe		3	8	3	Engstrand, Olle. 1990. Swedish. Journal of the International Phonetic Association 20(1). 42–44.	"/p,t,k/ are aspirated in stressed position when not preceded by hi within the same morpheme. /t, d, n, s, l/ are dental... Long vowels are generally diphthongized, particularly the high ones: [ij, yɥ, uw, ʉ̟β]. Lip rounding differs between /y/ (""outrounded"") and /u, ʉ̟/ (""inrounded""). Consonants are long after short vowels in stressed position, and short after long vowels. Voiced consonants are frequently devoiced in voiceless context (Engstrand 1990: 43). Example tapes are available here: http://en.wikipedia.org/wiki/Swedish_phonology"	0	59.326142	17.9875455			0
27	Finnish (Standard)	fin		15	96	2	Suomi, Kari; Toivanen, Juhani; Ylitalo, Riikka. 2008. Finnish sound structure: Phonetics, phonology, phonotactics and prosody. University of Oulu, Oulu.	/b/, /g/, /ʃ/ occur in educated speakers. /ʔː/, /ŋ/, /d̺/ and /f/ might be absent. As to the finals, only /t̪/, /s/, /n̺/ are frequent. /m/ and /n̺s/ only occur word-finally in loanwords. If word-final vowel reduction is acknowledged, many more combinations are possible. Syllable-initial cluster occur exclusively in loanwords.	0	61.0	24.5			0
28	Arbëresh Albanian (Hora e Arbëreshëvet)	aae		3	4	2	"Shkurtaj, Gjovalin. 2006. Ligjërimet arbëreshe. ""Gjuha e bukës"" dhe ""gjuha e zemrës"". Shqyrtime dialektologjike dhe sociolinguistike në ngulimet arbëreshe të Italisë. Tiranë"		0	38.0	13.28			0
29	Nepali	npi		3	11	1	Riccardi, Theodore. 2003. Nepali. The Indo-Aryan Languages, ed. by Dhanesh Jain and George Cardona, 538–580. Routledge.		0	28.0	84.633333			0
30	Even (Ola)	eve		11	72	1	Новикова, Клавдия Александровна. 1960. Очерки диалектов эвенского языка. Часть 1: ольский говор. Москва; Ленинград: Издательство АН СССР; Aralova, Natalia. 2015. Vowel harmony in two Even dialects: Production and perception. Ph.D. thesis. University of Amsterdam.	The system is presented according to the interpretation in Aralova 2015. /ħ/ and /s̠/ are in complementary distribution (/ħ/ only word initially). /oː/ ‘is slightly diphthongoid and starts with a short [u]’ (p. 30). Vowel harmony is root based and governs the distribution of consonant allophones: ‘According to Novikova (1960), the vowel inventory is divided into two groups of vowels opposed by pharyngealization, namely the non-pharyngealized set /e eː i iː o oː u uː ie/ vs. the pharyngealized set /a aː ị ịː ọ ọː ụ ụː ịa/. <...> Novikova (1960: 74) notes a common tendency for all consonants to be retracted in the context of set 2 vowels. According to her, within a word containing set 2 vowels, labials become nasalized, dental stops get secondary dorsal articulation, and the velar voiceless stop becomes uvular. <...> The lateral approximant has a palatalized variant within the context of set 1 vowels and a velarized variant within the context of set 2 vowels.’ (p. 38–39)	0	59.569799	151.26588			0
31	Zuberoan Basque			10	71	2	Hualde, José Ignacio; Ortiz de Urbina, Jon. 2003. A grammar of Basque. Berlin: Mouton de Gruyter		0	43.22	-0.89			0
32	Baima	bqh		4	41	1	Chirkova, Ekaterina. 2005. Baima nominal postpositions and their etymology. Linguistics of the Tibeto-Burman Area 28.1–41; Namkung, Ju. 1996. Phonological inventories of Tibeto-Burman languages. Berkley: Sino-Tibetan Etymological Dictionary and Thesaurus Project, Center for Southeast Asia Studies, University of California.		0	32.733	104.318			0
33	Kyrgyz (Standard)	kir		16	107	2	Somfai Kara, Dávid. 2003. Kyrgyz. Lincom Europa		0	42.9	74.6			0
34	Yodzyak Komi			15	99	2	Лыткин, В.И. 1961. Коми-язьвинский диалект. Москва: Издательство Академии наук СССР	/t̻s̻/, /f/, /rʲ/ are restricted to recent borrowings.	0	60.05	57.51			0
35	Dari	prs		3	14	1	Baker, Adam. 2016. Dari (Afghan Persian). Journal of the International Phonetic Association 46,229–234.		0	34.555349	69.207486			0
36	Mehri (Oman)	gdq		17	115	2	Rubin, Aaron D. 2010. The Mehri language of Oman. Leiden: Brill	/ʑ, ʕ, ɛ, õː/ are marginal.	0	17.4	53.0			0
37	Godoberi	gdo		5	45	2	Саидова, П.А. 1973. Годоберинский язык. Махачкала: Дагестанский филиал Академии наук СССР. Институт истории, языка и литературы имени Г. Цадасы	/ẽ/, /õ/, /tːʰ/ and /lː/ are non-phonemic.	0	42.6386111	46.0083333			0
38	Frisian (West)	fry		3	8	3	Sipma, Pieter. 1913. Phonology & grammar of modern West Frisian. London: Oxford University Press.	/ʔ/ glottal explosive. Uttered before a stressed vowel or diphthong beginning the word, when used separately (Simpa 1913: 15). [ɣ] is an allophone of /g/ occurring intervocally. Long vowels often show a tendency to become slightly diphthongized... We may say that eː, oː, and øː are regularly a little diphthongized when final (Simpa 1913: 9).	0	53.2003137	5.8185041			0
39	Gujarati (Standard)	guj		3	11	2	Mistry, P.J. 1997. Gujarati phonology. Phonologies of Asia and Africa (including the Caucasus), volume 1. Edited by: Alan S. Kaye. Winona Lake, Indiana: Eisenbrauns	There might also be a marginal /z/.	0	23.0	72.5			0
40	Tamang (Dhankuta)			4	39	1	Poudel, Kedar Prasad. 2006. Dhankute Tamang grammar. Languages of the world 454. München: LINCOM EUROPA.	The section on tone is not meaningful. According to the author, lexical tone is absent in Dhankute Tamang. However, some tonal phenomena are observed, but they are inadequately described. This grammar seems to be of a rather low quality and its data should be used with caution.	0	26.994423	87.332382			0
41	Vlax Romani (Mitrovica)	rmy		3	11	2	Daniele Viktor Leggio. 2011. The dialect of the Mitrovica Roma. In: Romani Studies 5, Vol. 21, No. 1, 57–114.	/ə/ and /ɨ/ are claimed to alternate freely with non-central vowels, but it appears that only certain lexemes allow this free variation.	0	42.8913909	20.8659995			0
42	Moksha (Standard)	mdf		15	98	2	Бондарко, Л.В.; Полякова, О.Е. 1993. Современные мордовские языки. Фонетика. Саранск: Мордовское книжное издательство		0	54.2	44.5			0
43	Israeli Hebrew	heb		17	113	1	Bolozky, Shmuel. 1997. Israeli Hebrew Phonology. Kaye, Alan S., and Peter T. Daniels (eds.) Phonologies of Asia and Africa (including the Caucasus). Vol. 1, 287–311. Winona Lake, Indiana: Eisenbrauns.		0	31.768319	35.21371			0
44	Ket (Kellog)	ket		18	116	2	Georg, Stefan. 2006. A descriptive grammar of Ket (Yenisei-Ostyak). Folkestone, Kent: Global Oriental.	/p/ and /ɾ/ are marginally phonemicized.	0	62.5	86.3			0
45	Latgalian (Standard)	ltg		3	6	2	Nau, Nicole. 2011. A short grammar of Latgalian. Languages of the World/Materials 482. München: Lincom Europa; Leikuma, Lidija. 2003. Latgalīšu volūda 1. Intensīvā mācību kursa materiāli. Sanktpēterburgas Valsts universitāte.	/ɔː/ and /ɛː/ are rare. Of all tonal distinctions only stød remains.	0	56.55	26.93			0
46	Tatar (Standard)	tat		16	107	2	Comrie, Bernard. 1997. Tatar (Volga Tatar, Kazan Tatar) phonology. Kaye, Alan S., and Peter T. Daniels (eds.) Phonologies of Asia and Africa (including the Caucasus). Vol. 1, 899–911. Winona Lake, Indiana: Eisenbrauns	Palatalized consonants occur marginally in Russian borrowings, they are not listed above. /v/, /f/, /ts/, /tɕ/, /ɕː/, /ɨ/, /ɛ/, /ɔ/, /ä/ do not occur in native words.	0	55.79	49.13			0
47	Denjongka	sip		4	41	1	Yliniemi, Juha-Sakari. 2005. Preliminary phonological analysis of Denjongka of Sikkim. M.A. thesis. University of Helsinki. http://www.doria.fi/handle/10024/4310.	Initial clusters with glides.	0	27.311	88.469			0
48	Kannada (Standard)	kan		12	81	1	Steever, Sanford B. 1998. Kannada. The Dravidian languages, ed. by Sanford B. Steever, 129–157. Routledge language family descriptions. London ; New York: Routledge.		0	12.2958104	76.6393805			0
49	Kapampangan (Balingcanaway)	pam		14	91	2	Añoso, Edeline Pearl O. 2012. Analysis of the Kapampangan language of Balingcanaway, Tarlac City. Silang, Cavite: Cavite State University, Silang campus		0	15.4849912	120.680381			0
51	Nar-Phu (Nar)	npa		4	39	1	Noonan, Michael. 2003. Nar-Phu. In LaPolla, Randy J., and Graham Thurgood (eds.) Sino-Tibetan Languages. London: Routledge, 336–353.	Tones 12 & 31 murmured.	0	28.751606	84.106094			0
52	Mongghul (Huzhu Monguor)	mjg		7	55	1	Nugteren, Hans. 2011. Mongolic Phonology and the Qinghai-Gansu Languages. Utrecht: Netherlands Graduate School of Linguistics / Landelijke (LOT).		0	36.81643	101.9901			0
53	Gorum	pcj		8	63	1	Anderson, Gregory D.S.; and Felix Rau. 2008. Gorum. The Munda Languages, ed. by Gregory D.S. Anderson, 381–433. Routledge language family series. London: Routledge.	Gorum, uniquely among surrounding Munda languages, possesses creaky voice whose status is unresolved. Nasalised vowels may alternate with V+N in closed syllables where N is homorganic with the following consonant.	0	18.5639348	82.7374115			0
54	Betta Kurumba	xub		12	81	2	Coelho, Gail Maria. 2003. A Grammar of Betta Kurumba. Austin: The University of Texas at Austin	/f/ and /d/ occur only in borrowings.	0	11.58	76.58			0
55	Avar (Chadakolob)	ava		5	45	1	Кибрик, А. Е.; и С. В. Кодзасов. 1990. Сопоставительное изучение дагестанских языков. Имя. Фонетика. Москва: МГУ.	The tones contrast only in the stressed syllable.	0	42.191	46.32			0
56	Salar	slr		16	105	2	Тенишев, Э.Р. 1976. Строй саларского языка. Москва: Наука		0	35.8482697	102.485915			0
57	Meadow Mari (Morki-Sernur)	mhr		15	97	2	Галкин, И.С.; Исанбаев, Н.И.; Пенгитов, Н.Т.; Барцева З.Ф. (eds.) 1960. Современный марийский язык. Фонетика. Йошкар-Ола: Марийское книжное издательство	/t̺s̺/, /ɸ/, /x/ might occur in borrowings in some speakers.	0	56.5	49.0			0
58	Gurung (Western)	gvr		4	39	1	Glover, Warren W. 1974. Sememic and Grammatical Structures in Gurung (Nepal). Summer Institute of Linguistics; Namkung, Ju. 1996. Phonological inventories of Tibeto-Burman languages. Berkley: Sino-Tibetan Etymological Dictionary and Thesaurus Project, Center for Southeast Asia Studies, University of California.		0	28.333123	83.935676			0
59	Paiwan (Kulalao)	pwn		14	90	2	Ferrell, Raleigh. 1982. Paiwan dictionary. Pacific linguistics. The Australian National University		0	22.5	120.8			0
60	Purki	prx		4	41	1	Sharma, Devi D. 2004. Tribal Languages Of Ladakh, Part III (A Descriptive Grammar of Purki & Balti). New Delhi: Mittal Publications; Rangan, K. 1979. Purki grammar. Mysore: Central institute of Indian languages.	F — fricative; S — stop. Both descriptions are of a low quality. An opposition of dental and alveolar stops and a series of long vowels is posited by Rangan, but not upheld by Sharma. The overall system of Sharma is hard to interpret because of confusing labels and glyphs — the system presented here is a synthesis.	0	34.557323	76.134013			0
61	Gheg Albanian (North-Eastern)	aln		3	4	2	Klippenstein, Rachel. 2010. Word-initial consonant clusters in Albanian. OSUWPL Vol. 59, pp. 10–32. Ohio State University, Department of Linguistics; Camaj, Martin. 1984. Albanian grammar: with exercises, chrestomathy and glossaries. Wiesbaden: Otto Harrasowitz; Friedman, Victor A. Studies on Albanian and Other Balkan Language. Peja: Dukagjini. 2004.	Long nasal vowels might still be phonemic.	0	42.7	21.3			0
62	Telugu (Vizianagaram)	tel		12	82	1	Bhaskararao, Peri; and Arpita Ray. 2016. Telugu. Journal of the International Phonetic Association. Cambridge, UK: Cambridge University Press.1–11. doi:10.1017/S0025100316000207.		0	18.094831	83.406698			0
63	Abkhaz (Bzyb)	abk		21	120	2	Бгажба, Х.С. 1964. Бзыбский диалект абхазского языка. Тбилиси: Издательство Академии наук Грузинской ССР.		0	43.1	40.6			0
64	Japhug			4	43	1	Jacques, Guillaume. 2004. Phonologie et morphologie du japhug (rGyalrong). Université Paris-Diderot-Paris VII. Ph.D. thesis. http://halshs.archives-ouvertes.fr/docs/00/13/85/68/PDF/these-japhug.pdf.	Pitch accent rather than real tones.	0	32.19013	102.06143			0
65	Rusyn (Lemko)	rue		3	16	2	Fontański, Henryk; Mirosława Chomiak. 1999. Gramatyka języka łemkowskiego. Ґраматыка лемківского языка. Katowice: Śląsk.		0	49.5	22.0			0
66	Temiar	tea		8	56	1	Benjamin, Geoffrey. 1976. An Outline of Temiar Grammar. Austroasiatic Studies Part I, 129–187. Honolulu: University of Hawai’i Press.		0	5.0	101.5			0
67	Tulu	tcy		12	81	1	Bhat, D.N.S. 1998. Tulu. The Dravidian languages, ed. by Sanford B. Steever, 158–177. Routledge language family descriptions. London ; New York: Routledge.		0	12.87	74.88			0
68	Slovene (Standard)	slv		3	16	2	Marc L. Greenberg. 2006. A Short Reference Grammar of Standard Slovene. University of Kansas	The possible clusters are numerous.	0	46.1	14.5			0
69	Italian	ita		3	15	3	Krämer, Martin. 2009. The Phonology of Italian. New York, Oxford University Press.	The alveolar fricative does not contrast in voicing in northern Italian. The voiced fricative occurs in the vicinity of voiced stops and in word-internal intervocalic position. Elsewhere we find the voiceless form. In southern Italy, the alveolar fricative is voiceless in intervocalic position as well, while in the centre of the peninsula it shows some marginal contrast in intervocalic position (Kramer 2009: 46). ...contrastively long consonants occur, again, only word-internally. Word-initially, all consonants can only be short (except in the contexts to be discussed in section 7.3). The consonants [ts, dz, ʃ, ɲ, ʎ] are short (like all the other consonants) word-initially, but are always long word-internally. In word-initial position they are realized as long whenever preceded by a vowel. The voiced alveolar fricative [z], on the other hand, does not occur in long form (Kramer 2009: 47). Surface [ʃ] could then be the result of merging the manner feature of /s/ and the place feature of /tʃ/. If this procedure is generalized one might remove /ʃ/ from the inventory as well, assuming that all surface post-alveolar fricatives are derived from an illegal consonant cluster, such as /stʃ/, with the non-alternating instances of /ʃ/ taking a free ride on the alternating ones (Kramer 2009: 49). All seven vowels occur as long and short, depending on their position in the prosodic structure. It is even arguable that speakers distinguish three degrees of length. The length of a vowel, however, is completely predictable by its position (Kramer 2009: 51). A closer look at the less problematic diphthongs demonstrates that they actually are combinations of segments and that any restrictions on the inventory of diphthongs are not restrictions on the inventory of (contrastive) segments, but rather restrictions on the combinatorial options within higher units of organization than the segment (Kramer 2009: 52).	0	41.9100711	12.5359979			0
70	Ersu	ers		4	37	1	Chirkova, Katia; Dehe Wang; Yiya Chen; Angélique Amelot; and Tanja Kocjančič Antolík. 2015. Ersu. Journal of the International Phonetic Association 45.187–211.	Clusters with initial nasals were analysed as phonemes. The language seems to have sesquisyllables (called ‘clusters with a schwa-like segment’ in the paper). The fricative vowels are transcribed as /z̩/ and /v̩/ in the paper — the former was transcribed following the convention for Mandarin Chinese and other languages of the region, while the latter was treated as the rounded version of the former since ‘The two are differentiated by the configuration of the lips: spread for /z̩/ and rounded for /v̩/’.	0	28.866137	102.625889			0
71	Hinuq	gin		5	49	1	Forker, Diana. A Grammar of Hinuq. Berlin, Boston: De Gruyter Mouton, 2013.	Labialised segments are not encountered word finally. Plain voiceless consonants show slight aspiration and pre-aspiration.	0	42.175646	45.989282			0
72	Andi	ani		5	45	1	Кибрик, А. Е.; и С. В. Кодзасов. 1990. Сопоставительное изучение дагестанских языков. Имя. Фонетика. Москва: МГУ.		0	42.785123	46.26135			0
73	Cebuano	ceb		14	91	2	Rubrico, Jessie Grace U. 1998. Cebuano grammar notes. Language Links		0	10.3	123.9			0
74	Mongolian (Khalkha)	mon		7	54	2	Тодаева, Б.Х. 1951. Грамматика современного монгольского языка. Фонетика и морфология. Москва: Издательство Академии наук СССР		0	48.0	107.0			0
75	Ladakhi (Leh)	lbj		4	41	1	Koshal, Sanyukta. 1979. Ladakhi grammar. Delhi; Varanasi; Patra: Motilal Banarsidass.		0	31.578709	77.168508			0
76	Kyirong Tibetan	kgy		4	41	1	Hall, T. Alan; and Kristine A. Hildebrandt. 2008. Phonological and morphological domains in Kyirong Tibetan. Linguistics 46.215–248.	Initial clusters consisting of bilabials coupled with [r] or [j] (xpt [bj]).	0	28.854444	85.296667			0
77	Tamil	tam		12	81	1	Annamalai, E.; and Sanford B. Steever. 1998. Modern Tamil. The Dravidian languages, ed. by Sanford B. Steever, 100–128. Routledge language family descriptions. London ; New York: Routledge.	“In the spoken language, virtually all words end in vowels, while in the literary language, words may end in certain nasals and liquids as well” (103).	0	13.0826802	80.2707184			0
78	Judaeo-Spanish (Beiruti)	lad		3	15	2	Taylor, Dorothy-Ann. 1969. A study of the Beirut dialect of Judeo-Spanish as spoken by one informant. Vancouver: University of British Columbia		0	33.8886289	35.4954794			0
79	Komi-Permyak	koi		15	99	2	Майшев, И.И. 1940. Грамматика коми-пермяцкого языка. Москва — Ленинград: Издательство Академии наук СССР	/t̻s̻/, /f/, /rʲ/, /x/ are restricted to recent borrowings. /l/ and /v/ are not contrasted syllable-finally.	0	59.9	55.0			0
80	Kuvi	kxv		12	82	2	Israel, M. 1979. A grammar of the Kuvi languages. Madurai: Sangnam Printers	/ŋ/ is marginal.	0	18.8	82.9			0
81	French	fra		3	15	3	Fougeron, Cécile & Smith, Caroline L. 1993. Journal of the International Phonetic Association 23(2). 73–76.	“Word-final consonants are always released, and in keeping with a general favouring of open syllables, they are usually resyllabified as onsets when followed by a vowel-initial word (enchainement). Underlying word-final consonants that are not pronounced before a consonant, are pronounced only when preceding a vowel in the same rhythmic group. This process, known as liaison, also contributes to this canonical open-syllable pattern” (Fougeron, Smith 1993).	0	48.8588589	2.3470599			0
82	Darma	drd		4	24	1	Willis, Christina Marie. 2007. A descriptive grammar of Darma: an endangered Tibeto-Burman language. University of Texas at Austin.		0	30.319269	80.730618			0
83	Latvian (Standard)	lvs		3	6	2	Balode, Laimute; Holvoet, Axel. 2001. The Latvian language and its dialects. Circum-Baltic Languages. Volume I: Past and Present, 3–40. John Benjamins Publishing Company: Amsterdam/Philadelphia.	Also the broken tone is present.	0	56.9	24.1			0
84	Kham Tibetan			4	41	1	Ray, Punya Sloka. 1965. Kham Phonology. Journal of the American Oriental Society 85.336–342.		0	31.47853	99.95257			0
85	Ter Saami	sjt		15	101	2	Терешкин, С.Н. 2002. Йоканьгский диалект саамского языка. Санкт-Петербург: Российский государственный педагогический институт имени А.И. Герцена		0	68.05	31.51			0
86	Northern Mansi (Sośva)	mns		15	103	2	Riese, Timothy. 2001. Vogul. Languages of the World/Materials 158		0	64.0	65.0			0
87	Udmurt (Standard)	udm		15	99	2	Перевощиков, П.Н. (ed.) 1962. Грамматика современного удмуртского языка. Фонетика и морфология. Ижевск: Удмуртское книжное издательство	/t̻s̻/, /f/, /x/ are restricted to recent borrowings. Dentals are actually denti-alveolar.	0	56.8	53.2			0
88	Shigatse Tibetan			4	41	1	Haller, Felix. 2000. Dialekt und Erzählungen von Shigatse. Beiträge zur tibetischen Erzählforschung Bd. 13. Bonn: VGH Wissenschaftsverlag.		0	29.266667	88.883333			0
89	Eastern Khanty (Vakh)			15	103	2	Терешкин, Н.И. 1967. Ваховский диалект хантыйского языка (фонетика и морфология). Ленинград: Институт языкознания Академии наук СССР		0	61.0	77.0			0
90	Tuvan (Standard)	tyv		16	108	2	Исхаков, Ф.Г.; Пальмбах, А.А. 1961. Грамматика тувинского языка (фонетика и морфология). Москва: Издательство восточной литературы	Pharyngealized vowels are also described as low-pitch vowels.	0	51.7	94.4			0
91	Kalmyk (Standard)	xal		7	54	2	Санжеев, Г.Д. 1940. Грамматика калмыцкого языка. Москва/Ленинград: Издательство Академии наук СССР		0	46.3	44.3			0
92	Korean (Seoul)	kor		22	122	2	Lee, H.B. 1989. Korean grammar. Oxford University Press	Plain non-aspirated plosives are also called 'tense'; they trigger tone distinctions on following vowels. The usage of the vowel length is decreasing in Seoul; all /e̞/, /eː/, /ɛ̝/, /ɛː/ merge in many speakers.	0	37.5	127.0			0
93	Elfdalian	ovd		3	8	2	Sapir, Yair. 2005. Elfdalian, the Vernacular of Övdaln. In Gunnar Nyström Nyström (ed.). Fuost konferensn um övdalskų / Första konferensen om älvdalska.	In some parts of Övdaln, /ɛ̃/ and /ɛ̃ː/ are realized as [æ̃] and [æ̃ː]. In some parts of Övdaln, /o̞/ and /ɔ̞̃/ are realized as [u] and [ũ] (probably the same is valid for long vowels). /õ̞, õ̞ː/ and /ɔ̞̃, ɔ̞̃ː/ are also regionally distributed. /uo, ũo, uoː, ũoː/ are pronounced as [ʏæ, ʏæ̃, ʏæː, ʏæ̃ː] in some vernaculars. In some villages /l̥/ is pronounced as [sl]. /ð/ and /r/ merge into /r/ regionally. /h/ occurs in some proper names and loanwords.	0	61.23	14.04			0
94	Urdu	urd		3	11	2	Alan S. Kaye. 1997 Hindi-Urdu phonology. Phonologies of Asia and Africa (including the Caucasus), volume 1. Edited by: Alan S. Kaye. Winona Lake, Indiana: Eisenbrauns		0	25.0	67.0			0
95	Russian (Standard)	rus		3	16	1	Yanushevskaya, Irena; and Daniel Bunčić. 2015. Russian. Journal of the International Phonetic Association 45.221–228.	Retroflex sounds were transcribed as /ʃ, ʒ/ in the main table in the source; /tɕ/ was transcribed as /tʃʲ/ and /ɕː/ as /ʃʲ/. Retroflex and alveolo-palatal interpretation for fricatives was mentioned in the text; /tɕ/ was intoduced based on the literature and introspection.	0	55.7	37.5			0
