iso_code	inventory_id	name	Contributor_ID	count_phonemes	count_consonants	count_vowels	count_tones	glot_fam	pop	forty_mean	continent	names	p_a	source	wals_code	wals_value	wals_p_a	round_count_tones	lat	lon
agb	1540	Leggbo	GM	53	38	12	3	Atlantic-Congo	60000	3.178	Africa	LEGBO,LEGGBO	1	phoible	NA	NA	NA	3	6.02	7.99
agj	1396	Argobba	GM	38	30	8	0	Afro-Asiatic	46940	4.35	Africa	ARGOBBA	0	phoible	NA	NA	NA	0	10.17	40.08
agm	NA	NA	NA	NA	NA	NA	NA	Angan	2500	3.923	NG and Oceania	ANGAATAHA	1	wals	ant	2	1	NA	-7.22	146.25
agq	1524	Aghem	GM	49	28	19	2	Atlantic-Congo	26700	2.814	Africa	AGHEM,AGHEM_2,AGHEM_ISU,AGHEM_WEH,AGHEM_WUM	1	phoible	agh	2	1	2	6.65	10
agx	486	Aghul (Huppuq’)	EA	NA	NA	NA	0	Nakh-Daghestanian	29300	3.5	W and SW Eurasia	AGUL	0	phoible	NA	NA	NA	0	41.75	47.67
aha	1400	Ahanta	GM	40	24	14	2	Atlantic-Congo	175000	4.562	Africa	AHANTE	1	phoible	NA	NA	NA	2	4.9	-2
ahg	1161	Agaw	PH	39	28	7	4	Afro-Asiatic	4830	3.894	Africa	KEMANT,KEMANT_2	1	phoible	NA	NA	NA	4	12.67	37.42
ahi	1528	Aizi, Tiagba	GM	32	24	8	0	Atlantic-Congo	9000	3.052	Africa	AIZI_TIAGBAMRIN	0	phoible	NA	NA	NA	0	5.28	-4.64
ahk	multiple	Akha	multiple	50.5	31	18	2	Sino-Tibetan	610860	3.381	S/SE Asia	AKHA,GELANGHE_AKHA	1	phoible	NA	NA	NA	2	21.83	99.83
ahl	multiple	ahlõ	multiple	33	23	7	3	Atlantic-Congo	7600	3.625	Africa	AHLO	1	phoible	NA	NA	NA	3	6.67	0.67
ahs	1530	Tinɔr	GM	36	24	9	3	Atlantic-Congo	40000	2.684	Africa	ITOO	1	phoible	NA	NA	NA	3	9.33	7.42
aht	NA	NA	NA	NA	NA	NA	0	Athabaskan-Eyak-Tlingit	45	3.362	W N America	AHTNA,MANTASTA_AHTENA	0	wals	aht	1	0	NA	62	-145
ain	196	Ainu	SPA	17	12	5	0	Ainu	10	4.044	N-C Asia	AINU_ASAHIKAWA,AINU_BIHORO,AINU_HIRATORI,AINU_HOROBETSU,AINU_KUSHIRO,AINU_MAOKA,AINU_NAIRO,AINU_NAYORO,AINU_NIIKAPPU,AINU_NUKKIBETSU,AINU_OBIHIRO,AINU_OCHIHO,AINU_OSHAMAMBE,AINU_RAICHISHKA,AINU_SAMANI,AINU_SARU,AINU_SHIRAURA,AINU_SOYA,AINU_TARANTOMARI,AINU_YAKUMO,HOKKAIDO_AINU,KURIL_AINU,SAKHALIN_AINU	0	phoible	ain	2	1	0	43.77	142.37
aiw	1483	Aari	GM	36	26	10	0	South_Omotic	298300	3.872	Africa	ARI	0	phoible	NA	NA	NA	0	6	36.58
aja	1250	aja	GM	48	38	10	0	Kresh-Aja	200	4.136	Africa	AJA	0	phoible	NA	NA	NA	0	7.33	25.67
ajg	multiple	adja	multiple	41	25.5	13	2.5	Atlantic-Congo	1133000	3.421	Africa	AJA_GBE,AJAGBE	1	phoible	NA	NA	NA	2	6.9	1.7
ajp	532	Palestinian Arabic (Rural)	EA	NA	NA	NA	0	Afro-Asiatic	11480500	4.274	W and SW Eurasia	PALESTINIAN_ARABIC	0	phoible	NA	NA	NA	0	32	35.25
aka	multiple	Akan	multiple	43.67	22.67	18	3	Atlantic-Congo	8231300	4.101	Africa	AKAN_ASANTE,TWI_ASANTE,TWI_FANTE	1	phoible	akn	2	1	3	6.4	-1.2
ake	NA	NA	NA	NA	NA	NA	0	Cariban	5850	4.128	S America	AKAWAIO,AKAWAIO_2	0	wals	akw	1	0	NA	6	-59.5
akp	1320	Siwu	GM	37	20	14	3	Atlantic-Congo	71900	3.141	Africa	AKPAFU,SIWU	1	phoible	NA	NA	NA	3	7.25	0.42
aks	1572	Akasilimi	GM	52	20	29	3	Atlantic-Congo	59200	4.5	Africa	AKASELEM	1	phoible	NA	NA	NA	3	8.83	1.33
akz	79	Alabama	SPA	21	15	6	0	Muskogean	370	4.795	E N America	ALABAMA	0	phoible	NA	NA	NA	0	32.33	-87.41
alc	NA	NA	NA	NA	NA	NA	0	Kawesqar	12	5.25	S America	QAWASQAR	0	wals	qaw	1	0	NA	-49	-75
ald	1529	Alladian	GM	36	23	11	2	Atlantic-Congo	23000	3.345	Africa	ALLADIAN,ALLADIAN_2	1	phoible	ald	2	1	2	5.17	-4.33
ale	61	Aleut	SPA	36	30	6	0	Eskimo-Aleut	155	4.897	E N America	ALEUT,ALEUT_2	0	phoible	aea	1	0	0	54	-166
alh	multiple	Alawa	multiple	27	22.5	4.5	0	Mangarrayi-Maran	12	5.037	Australia	ALAWA	0	phoible	alw	1	0	0	-15.17	134.25
aln	multiple	Gheg Albanian (North-Eastern)	multiple	43	27	16	0	Indo-European	2223780	3.5	W and SW Eurasia	ALBANIAN_GHEG	0	phoible	NA	NA	NA	0	41.33	20.83
alr	multiple	Alutor	multiple	27	18	9	0	Chukotko-Kamchatkan	25	6.688	N-C Asia	ALUTOR	0	phoible	NA	NA	NA	0	61	165
als	multiple	Albanian	multiple	36.5	28.5	8	0	Indo-European	1869040	3.612	W and SW Eurasia	ALBANIAN,ALBANIAN_TOSK	0	phoible	NA	NA	NA	0	41	20
aly	2702	Alyawarr	ER	43	40	3	0	Pama-Nyungan	1660	4.962	Australia	ALYAWARR_ALYAWARA,ALYAWARR_MACDONALDDOWNS_ALYAWARA,ALYAWARRA	0	phoible	NA	NA	NA	0	-22.5	135
amc	120	Amahuaca	SPA	22	14	8	0	Pano-Tacanan	520	4.527	S America	AMAHUACA	0	phoible	NA	NA	NA	0	-10.5	-72.5
ame	112	Amuesha	SPA	29	23	6	0	Arawakan	7520	4.575	S America	AMUESHA	0	phoible	amu	1	0	0	-10.5	-75.42
amf	NA	NA	NA	NA	NA	NA	NA	South_Omotic	81520	3.862	Africa	BANNA,HAMER_BANNA	1	wals	hmr	2	1	NA	5	36.5
amg	2666	Amurdak	ER	24	21	3	0	Iwaidjan_Proper	1	5.514	Australia	AMURDAK	0	phoible	NA	NA	NA	0	-12	133
amh	multiple	Amharic	multiple	63.5	56.5	7	0	Afro-Asiatic	21873820	4.046	Africa	AMHARIC,AMHARIC_2,AMHARIC_3	0	phoible	amh	1	0	0	10	38
amo	NA	NA	NA	NA	NA	NA	NA	Atlantic-Congo	12300	3	Africa	AMO	1	wals	amo	2	1	NA	10.33	8.67
amp	NA	NA	NA	NA	NA	NA	0	Sepik	1530	4.686	NG and Oceania	ALAMBLAK,ALAMBLAK_2	0	wals	ala	1	0	NA	-4.67	143.33
amu	NA	NA	NA	NA	NA	NA	NA	Otomanguean	45900	3	C America	XOCHISTLAHUACA_AMUZGO	1	wals	amz	3	1	NA	16.83	-98
amx	multiple	Eastern Anmatyerre	multiple	44	40	4	0	Pama-Nyungan	1000	4.308	Australia	ANMATYERRE	0	phoible	NA	NA	NA	0	-22	133.25
amy	2641	Emmi	ER	32	27	5	0	Western_Daly	30	5.379	Australia	AMI	0	phoible	NA	NA	NA	0	-13.5	130
anc	multiple	Angas	multiple	40	27	10	3	Afro-Asiatic	400000	3.074	Africa	ANGAS,ANGAS_NGAS	1	phoible	anc	3	1	3	9.5	9.5
ani	multiple	Andi	multiple	68	63	5	2	Nakh-Daghestanian	5800	4.425	W and SW Eurasia	ANDI,ANDI_MUNI	1	phoible	NA	NA	NA	2	42.75	46.25
ann	972	Obolo	PH	37	22	12	3	Atlantic-Congo	250000	3.368	Africa	OBOLO,OBOLO_2	1	phoible	NA	NA	NA	3	4.58	7.83
ano	NA	NA	NA	NA	NA	NA	NA	Andoque	370	3.929	S America	ANDOQUE	1	wals	adk	2	1	NA	-0.67	-72
anu	1165	Anywa	PH	47	19	24	4	Nilotic	142600	3.461	Africa	ANYUAK	1	phoible	NA	NA	NA	4	8	33.5
any	multiple	Anyi Sanvi	multiple	38.33	19	14.67	4.67	Atlantic-Congo	1066400	3.8	Africa	AGNI_ANYIN,AGNI_ANYIN_2,AGNI_INDENIE,AGNI_INDENIE_2,ANYI	1	phoible	NA	NA	NA	5	6.8	-3.2
aoi	2651	Anindilyakwa	ER	26	22	4	0	Gunwinyguan	1280	6.593	Australia	INGURA	0	phoible	NA	NA	NA	0	-14	136.5
apc	533	Beirut Arabic	EA	NA	NA	NA	0	Afro-Asiatic	24205200	4.331	W and SW Eurasia	ARABIC_NORTH_LEVANTINE_SPOKEN,DAMASCUS_ARABIC,SAN_ANDRES_ARABIC_1,SAN_ANDRES_ARABIC_2,SAN_ANDRES_ARABIC_3,SYRIAN_ARABIC	0	phoible	NA	NA	NA	0	33.75	36
apd	659	arabe	AA	62	54	8	0	Afro-Asiatic	31854400	4.429	Africa	ARABIC_SUDANESE_SPOKEN,SUDANESE_ARABIC	0	phoible	NA	NA	NA	0	15.55	32.53
ape	NA	NA	NA	NA	NA	NA	0	Nuclear_Torricelli	16200	4.353	NG and Oceania	ARAPESH,BUKIYIP	0	wals	arp	1	0	NA	-3.42	143.17
apj	1232	Jicarilla Apache	PH	56	34	19	3	Athabaskan-Eyak-Tlingit	510	3.243	W N America	JICARILLA,JICARILLA_APACHE	1	phoible	NA	NA	NA	3	36.58	-104
apm	951	Chiricahua Apache	PH	51	31	16	4	Athabaskan-Eyak-Tlingit	1500	2.914	W N America	CHIRICAHUA	1	phoible	NA	NA	NA	4	33.25	-108
apn	122	Apinaye	SPA	49	14	35	0	Nuclear-Macro-Je	1500	3.108	S America	APINAYE	0	phoible	api	1	0	0	-5.5	-48
apq	1702	Andamanese	RA	35	25	10	0	Great_Andamanese	NA	4.859	S/SE Asia	SOUTH_ANDAMAN	0	phoible	gan	1	0	0	12	92.67
apt	1705	Apatani	RA	40	24	13	3	Sino-Tibetan	28400	3.318	S/SE Asia	APATANI	1	phoible	NA	NA	NA	3	27.5	93.75
apu	NA	NA	NA	NA	NA	NA	0	Arawakan	2000	4.705	S America	APURINA	0	wals	apu	1	0	NA	-9	-67
aqc	493	Archi	EA	NA	NA	NA	0	Nakh-Daghestanian	970	3.575	W and SW Eurasia	ARCHI,ARCHI_2	0	phoible	arc	1	0	0	42	46.83
ard	2761	Arabana	ER	24	21	3	0	Pama-Nyungan	6	4.839	Australia	ARABANA	0	phoible	NA	NA	NA	0	-28.25	136.25
are	2710	Western Arrernte	ER	44	40	4	0	Pama-Nyungan	1000	5.295	Australia	ARRARNTA_WESTERN,LOWER_ARANDA,SOUTHERN_ARANDA,WESTERN_ARRERNTE	0	phoible	NA	NA	NA	0	-24	132.5
arg	multiple	Aragonese (Chistabino)	multiple	27	20	7	0	Indo-European	30000	4.675	W and SW Eurasia	ARAGONESE	0	phoible	NA	NA	NA	0	42.17	-0.17
arh	NA	NA	NA	NA	NA	NA	0	Chibchan	8000	4.211	S America	IKA	0	wals	ika	1	0	NA	10.67	-73.75
arl	NA	NA	NA	NA	NA	NA	0	Zaparoan	50	5.566	S America	ARABELA	0	wals	arb	1	0	NA	-2	-75.17
arn	106	Araucanian	SPA	26	20	6	0	Araucanian	258410	4.093	S America	MAPUDUNGUN,MAPUDUNGUN_2,MAPUDUNGUN_3,RANQUELCHE	0	phoible	map	1	0	0	-38	-72
aro	NA	NA	NA	NA	NA	NA	0	Pano-Tacanan	110	3.974	S America	ARAONA	0	wals	ana	1	0	NA	-12.33	-67.75
arr	1097	Karo	PH	27	14	11	2	Tupian	200	3.786	S America	KARO_BRAZIL	1	phoible	NA	NA	NA	2	-10.33	-62
ars	multiple	Najdi Arabic	multiple	33	25	8	0	Afro-Asiatic	4049900	3.95	Africa	NAJDI_ARABIC	0	phoible	NA	NA	NA	0	30.34	42.18
arv	1525	Arbore	GM	59	49	10	0	Afro-Asiatic	10320	4.5	Africa	ARBORE,ARBORE_2	0	phoible	NA	NA	NA	0	5	36.75
ary	133	Moroccan Arabic	SPA	78	74	4	0	Afro-Asiatic	27486000	4.175	Africa	MOROCCAN_ARABIC,MOROCCAN_ARABIC_2	0	phoible	NA	NA	NA	0	34	-6
arz	132	Egyptian Arabic	SPA	67	58	9	0	Afro-Asiatic	64422000	4.425	Africa	CAIRO_ARABIC	0	phoible	aeg	1	0	0	30	31
asm	multiple	Assamese	multiple	35.33	22.33	13	0	Indo-European	12828310	3.541	W and SW Eurasia	ASSAMESE	0	phoible	NA	NA	NA	0	26	93
ast	multiple	Asturian (Western)	multiple	26.5	19.5	7	0	Indo-European	110000	4.654	W and SW Eurasia	ASTURIAN	0	phoible	NA	NA	NA	0	43.25	-6
atb	1229	Zaiwa	PH	32	21	8	3	Sino-Tibetan	110000	3.132	S/SE Asia	ZAIWA	1	phoible	NA	NA	NA	3	24.33	98
ati	1550	Attie	GM	47	24	15	8	Atlantic-Congo	621000	2.993	Africa	ATTIE,ATTIE_2	1	phoible	NA	NA	NA	8	6	-3.75
atv	multiple	Northern Altai (Kumandy)	multiple	34	18	16	0	Turkic	57400	3.487	N-C Asia	NORTH_ALTAI	0	phoible	NA	NA	NA	0	51	88
auc	NA	NA	NA	NA	NA	NA	0	Waorani	1650	4.632	S America	WAORANI	0	wals	wao	1	0	NA	-1	-76.5
auy	57	Auyana	SPA	20	11	6	3	Nuclear_Trans_New_Guinea	11100	5.447	NG and Oceania	AUYANA	1	phoible	NA	NA	NA	3	-6.5	145.75
ava	multiple	Avar (Chadakolob)	multiple	64	59	5	2	Nakh-Daghestanian	766500	3.665	W and SW Eurasia	AVAR,AVAR_2,AVAR_ANDALAL,AVAR_ANTSUKH,AVAR_BATLUKH,AVAR_HID,AVAR_KARAKH,AVAR_KUSUR,AVAR_ZAKATALY	1	phoible	ava	1	0	2	42.5	46.5
avi	1358	Avikam	GM	34	25	6	3	Atlantic-Congo	21000	3.808	Africa	AVIKAM,AVIKAM_2	1	phoible	NA	NA	NA	3	5.1	-5.43
avl	536	Negev Arabic	EA	NA	NA	NA	0	Afro-Asiatic	2239000	4.571	W and SW Eurasia	EASTERN_EGYPTIAN_BEDAWI_ARABIC	0	phoible	NA	NA	NA	0	29.67	33.61
avn	1296	Avatime	GM	50	28	18	4	Atlantic-Congo	27200	4.871	Africa	SIDEME	1	phoible	NA	NA	NA	4	6.83	0.42
avu	660	avokaya	AA	55	37	14	4	Central_Sudanic	65000	3.38	Africa	AVOKAYA,AVOKAYA_2,OJIGA,OJILA	1	phoible	NA	NA	NA	4	4.86	29.97
awa	multiple	Awadhi	multiple	45	37	8	0	Indo-European	3032000	3.784	W and SW Eurasia	AWADHI	0	phoible	NA	NA	NA	0	27.5	81.5
awn	multiple	Awiya	multiple	39	29	6.5	3.5	Afro-Asiatic	553400	3.625	Africa	AWNGI,AWNGI_2	1	phoible	awn	2	1	4	10.83	36.67
aye	1545	Uwu	GM	43	26	14	3	Atlantic-Congo	3000	3.392	Africa	AYERE	1	phoible	NA	NA	NA	3	7.5	6
ayg	1303	Genyanga	GM	53	31	22	0	Atlantic-Congo	16500	3.786	Africa	GENYANGA	0	phoible	NA	NA	NA	0	8.11	0.83
ayn	530	San’ani Arabic	EA	NA	NA	NA	0	Afro-Asiatic	11350000	4.625	W and SW Eurasia	YEMEN_SANAANI_ARABIC	0	phoible	NA	NA	NA	0	16	44
ayp	526	Baghdad Arabic (Muslim)	EA	NA	NA	NA	0	Afro-Asiatic	8694000	4.242	W and SW Eurasia	NORTH_MESOPOTAMIAN_ARABIC	0	phoible	NA	NA	NA	0	36.3	42
ayr	NA	NA	NA	NA	NA	NA	0	Aymaran	1464100	4.468	S America	CENTRAL_AYMARA,CENTRAL_AYMARA_2,PUKI,SULLKATITI_TITIRI	0	wals	aym	1	0	NA	-17	-69
ayz	NA	NA	NA	NA	NA	NA	0	Maybrat	20000	3.364	NG and Oceania	MAI_BRAT	0	wals	may	1	0	NA	-1.33	132.5
azb	multiple	South Azerbaijani (Tabriz)	multiple	33	24	9	0	Turkic	13823350	3.357	N-C Asia	AZERBAIJANI_SOUTHERN	0	phoible	aze	1	0	0	37.5	47
azj	multiple	Azerbaijani	multiple	36.5	24.5	12	0	Turkic	9232060	3.719	N-C Asia	AZERBAIJANI,AZERBAIJANI_NORTH,AZERBAIJANI_NORTH_2,TEREKEME_AZERI	0	phoible	NA	NA	NA	0	40.5	48.5
bag	1573	Tuki	GM	39	25	10	4	Atlantic-Congo	26000	3.419	Africa	A61_NGORO_ASOM,TUKI,TUKI_2	1	phoible	NA	NA	NA	4	4.58	11.5
bak	multiple	Bashkir (Standard)	multiple	39	28	11	0	Turkic	1249240	3.981	N-C Asia	BASHKIR,BASHKIR_2	0	phoible	bsk	1	0	0	53	58
bam	multiple	bambara	multiple	50.5	26	22.5	2	Mande	4102320	3.761	Africa	BAMBARA,BAMBARA_2,BAMBARA_3,BAMBARA_4	1	phoible	bam	2	1	2	12.5	-7.5
ban	1693	Balinese	GM	24	18	6	0	Austronesian	3300000	4.288	S/SE Asia	BALI	0	phoible	NA	NA	NA	0	-8.33	115.25
bao	114	Barasano	SPA	25	11	12	2	Tucanoan	131	4.434	S America	BARA,WAIMAHA,WAIMAHA_2	1	phoible	bno	2	1	2	0.33	-70.25
bas	670	basaa	AA	41	29	7	5	Atlantic-Congo	300000	2.514	Africa	BASAA,BASAA_2	1	phoible	NA	NA	NA	5	3.92	10.5
bav	661	babungo	AA	82	56	17	9	Atlantic-Congo	27000	2.694	Africa	BABUNGO,VENGO	1	phoible	NA	NA	NA	9	6.12	10.42
bba	669	bariba	AA	31	17	12	2	Atlantic-Congo	996000	3.6	Africa	BAATONUM,BAATONUM_2	1	phoible	brb	3	1	2	10	2.05
bbc	33	Batak	SPA	21	16	5	0	Austronesian	2000000	4.735	S/SE Asia	TOBA_BATAK	0	phoible	bto	1	0	0	2.5	99
bbj	1384	Banjun	GM	59	36	18	5	Atlantic-Congo	350000	2.611	Africa	GHOMALA_1,GHOMALA_2	1	phoible	NA	NA	NA	5	5.42	10.33
bbl	multiple	Bats	multiple	51	33	18	0	Nakh-Daghestanian	3200	3.5	W and SW Eurasia	BATS	0	phoible	ttu	1	0	0	42.5	45.5
bbo	multiple	bobo	multiple	38.5	20.5	15.5	2.5	Mande	60000	3.391	Africa	NORTHERN_BOBO_MANDARE	1	phoible	bbf	3	1	2	12.42	-4.33
bbp	1308	Banda, West Central	GM	46	31	10	5	Atlantic-Congo	7500	3.628	Africa	DAKPA,DAKPA_2,DAKPA_3,GBI,GBI_2,GOLO,NORTHERN_GBAGA,WOJO,WOJO_2	1	phoible	NA	NA	NA	5	5.73	20.05
bby	1186	Befang	PH	59	43	14	2	Atlantic-Congo	2980	2.706	Africa	MODELE	1	phoible	NA	NA	NA	2	6.33	10
bca	NA	NA	NA	NA	NA	NA	NA	Sino-Tibetan	800000	2.792	S/SE Asia	DASHI_BAI,ERYUAN_BAI,HEQING_BAI,JIANCHUAN_BAI,JIANCHUAN_BAI_2,JINDUN_BAI,JINXING_BAI,LONGMEN_BAI,SHI_BAI,XISHAN_BAI,YUNLONG_BAI	1	wals	bai	3	1	NA	26.31	100.22
bcc	multiple	Southern Balochi	multiple	32	24	8	0	Indo-European	3584300	3.597	W and SW Eurasia	SOUTHERN_BALOCHI	0	phoible	NA	NA	NA	0	25.11	59.74
bci	668	baoulé	AA	37	21	12	4	Atlantic-Congo	3544060	3.231	Africa	BAULE,BAULE_2	1	phoible	NA	NA	NA	4	7	-5
bcj	multiple	Bardi	multiple	24.5	17.5	7	0	Nyulnyulan	30	5.289	Australia	BARDI	0	phoible	brd	1	0	0	-16.58	122.92
bck	2630	Bunuba	ER	24	20	4	0	Bunaban	40	5.588	Australia	BUNABA	0	phoible	NA	NA	NA	0	-17.75	125.75
bcl	1695	Bikol (Bicolano)	GM	28	23	5	0	Austronesian	2500000	4.983	S/SE Asia	CENTRAL_BICOLANO,LEGAZPI,NAGA	0	phoible	NA	NA	NA	0	13.33	123.5
bcq	multiple	Gimira	multiple	48	37.5	5	5.5	Ta-Ne-Omotic	370600	3.212	Africa	BENCHO,SHE	1	phoible	NA	NA	NA	6	7	35.75
bcs	NA	NA	NA	NA	NA	NA	NA	Atlantic-Congo	30000	3.758	Africa	KOHUMONO,KOHUMONO_2	1	wals	koh	3	1	NA	6.03	8.2
bcw	1248	bana	GM	44	37	3	4	Afro-Asiatic	23000	4.296	Africa	BANA,BANA_2	1	phoible	NA	NA	NA	4	10.25	13.35
bde	1437	Bade	GM	46	33	9	4	Afro-Asiatic	250000	4.571	Africa	BADE,BADE_2,BADE_3	1	phoible	NA	NA	NA	4	12.83	10.5
bdh	1249	baka	GM	46	36	10	0	Central_Sudanic	26300	4.162	Africa	BAKA_SUDAN	0	phoible	NA	NA	NA	0	4.83	29.25
bdi	1313	Burun	GM	38	19	16	3	Nilotic	41000	4	Africa	BURUN	1	phoible	NA	NA	NA	3	10.75	34
bdk	482	Budukh	EA	NA	NA	NA	0	Nakh-Daghestanian	200	3.962	W and SW Eurasia	BUDUKH	0	phoible	NA	NA	NA	0	41.17	48.42
bdl	NA	NA	NA	NA	NA	NA	0	Austronesian	150000	4.635	NG and Oceania	ANAIWOI_BAJAU,BAJOE_BAJAU,BOEPINANG_BAJAU,INDONESIAN_BAJAU,KALEROANG_BAJAU,KAYUADI_BAJAU,KOLO_BAWAH_BAJAU,LAKARAMBA_BAJAU,LAKONEA_BAJAU,LANGARA_LAUT_BAJAU,LAPULU_BAJAU,LAURU_BAJAU,LEMO_BAJAU,LUWUK_BAJAU,MORAMO_BAJAU,PADEI_LAUT_BAJAU,PITULUA_BAJAU	0	wals	baj	1	0	NA	-4.33	123
bdy	2716	Waalubal	ER	20	12	8	0	Pama-Nyungan	20	5.471	Australia	WAALUBAL	0	phoible	byu	1	0	0	-28.42	152.42
bee	327	Byangsi	EA	NA	NA	NA	0	Sino-Tibetan	3310	3.431	S/SE Asia	BYANSI	0	phoible	NA	NA	NA	0	30.17	80.5
beg	1669	Belait	GM	25	19	6	0	Austronesian	1240	4.529	S/SE Asia	BELAIT	0	phoible	NA	NA	NA	0	4.6	114.33
